claim,evidence,label,claim_clean,evidence_clean,combined_text
DUSP4 downregulation deactivates the Ras-ERK pathway,"Low concentrations of dual specificity protein phosphatase 4 (DUSP4), an ERK phosphatase, correlated with high post-NAC tumor cell proliferation and with basal-like breast cancer (BLBC) status.",0,dusp downregulation deactivates raserk pathway,low concentration dual specificity protein phosphatase dusp erk phosphatase correlated high postnac tumor cell proliferation basallike breast cancer blbc status,dusp downregulation deactivates raserk pathway low concentration dual specificity protein phosphatase dusp erk phosphatase correlated high postnac tumor cell proliferation basallike breast cancer blbc status
DUSP4 downregulation deactivates the Ras-ERK pathway,BLBC had higher DUSP4 promoter methylation and gene expression patterns of Ras-ERK pathway activation relative to other breast cancer subtypes.,0,dusp downregulation deactivates raserk pathway,blbc higher dusp promoter methylation gene expression pattern raserk pathway activation relative breast cancer subtypes,dusp downregulation deactivates raserk pathway blbc higher dusp promoter methylation gene expression pattern raserk pathway activation relative breast cancer subtypes
DUSP4 downregulation deactivates the Ras-ERK pathway,"Thus, DUSP4 downregulation activates the Ras-ERK pathway in BLBC, resulting in an attenuated response to anti-cancer chemotherapy.",0,dusp downregulation deactivates raserk pathway,thus dusp downregulation activates raserk pathway blbc resulting attenuated response anticancer chemotherapy,dusp downregulation deactivates raserk pathway thus dusp downregulation activates raserk pathway blbc resulting attenuated response anticancer chemotherapy
DUSP4 increases apoptosis.,"DUSP4 overexpression increased chemotherapy-induced apoptosis, whereas DUSP4 depletion dampened the response to chemotherapy.",1,dusp increase apoptosis,dusp overexpression increased chemotherapyinduced apoptosis whereas dusp depletion dampened response chemotherapy,dusp increase apoptosis dusp overexpression increased chemotherapyinduced apoptosis whereas dusp depletion dampened response chemotherapy
De novo assembly of sequence data has fewer specific contigs than unassembled sequence data.,,0,de novo assembly sequence data fewer specific contigs unassembled sequence data,,de novo assembly sequence data fewer specific contigs unassembled sequence data 
De novo assembly of sequence data has shorter contigs than unassembled sequence data.,,0,de novo assembly sequence data shorter contigs unassembled sequence data,,de novo assembly sequence data shorter contigs unassembled sequence data 
Decrease of p62 in prostate tumor stroma results in defective autophagy.,,0,decrease p prostate tumor stroma result defective autophagy,,decrease p prostate tumor stroma result defective autophagy 
Decreased conversion of PGE 2 to PPARy ligand 15-ket-PGE 2 causes accumulation of PGE.,,0,decreased conversion pge ppary ligand ketpge cause accumulation pge,,decreased conversion pge ppary ligand ketpge cause accumulation pge 
Decreased diastolic blood pressure (DBP) is associated with abdominal aortic aneurysm.,"Compared with diastolic blood pressure, raised systolic blood pressure had a greater effect on angina, myocardial infarction, and peripheral arterial disease, whereas raised diastolic blood pressure had a greater effect on abdominal aortic aneurysm than did raised systolic pressure.",0,decreased diastolic blood pressure dbp associated abdominal aortic aneurysm,compared diastolic blood pressure raised systolic blood pressure greater effect angina myocardial infarction peripheral arterial disease whereas raised diastolic blood pressure greater effect abdominal aortic aneurysm raised systolic pressure,decreased diastolic blood pressure dbp associated abdominal aortic aneurysm compared diastolic blood pressure raised systolic blood pressure greater effect angina myocardial infarction peripheral arterial disease whereas raised diastolic blood pressure greater effect abdominal aortic aneurysm raised systolic pressure
Deleting Raptor increases G-CSF levels.,,0,deleting raptor increase gcsf level,,deleting raptor increase gcsf level 
Deletion of ATM and Rad3 related protein is not predictive of acute tissue loss.,,0,deletion atm rad related protein predictive acute tissue loss,,deletion atm rad related protein predictive acute tissue loss 
Deletion of ATM and Rad3 related protein leads to acute tissue loss.,,0,deletion atm rad related protein lead acute tissue loss,,deletion atm rad related protein lead acute tissue loss 
Deltex has no known interactions with eIF3f.,"We also show that eIF3f is recruited to activated Notch on endocytic vesicles by the putative E3 ubiquitin ligase Deltex1, which serves as a bridging factor.",0,deltex known interaction eiff,also show eiff recruited activated notch endocytic vesicle putative e ubiquitin ligase deltex serf bridging factor,deltex known interaction eiff also show eiff recruited activated notch endocytic vesicle putative e ubiquitin ligase deltex serf bridging factor
Deltex interacts with eIF3. There is no known interaction between Deltex and elF3,"We also show that eIF3f is recruited to activated Notch on endocytic vesicles by the putative E3 ubiquitin ligase Deltex1, which serves as a bridging factor.",0,deltex interacts eif known interaction deltex elf,also show eiff recruited activated notch endocytic vesicle putative e ubiquitin ligase deltex serf bridging factor,deltex interacts eif known interaction deltex elf also show eiff recruited activated notch endocytic vesicle putative e ubiquitin ligase deltex serf bridging factor
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.,"Here we show that simian immunodeficiency virus (SIV) infection results in depletion of T helper type 17 (TH17) cells in the ileal mucosa of rhesus macaques, thereby impairing mucosal barrier functions to S. typhimurium dissemination.",0,depletion thelper th cell simian immunodeficiency virus siv infection decrease dissemination salmonella typhimurium gut,show simian immunodeficiency virus siv infection result depletion helper type th cell ileal mucosa rhesus macaque thereby impairing mucosal barrier function typhimurium dissemination,depletion thelper th cell simian immunodeficiency virus siv infection decrease dissemination salmonella typhimurium gut show simian immunodeficiency virus siv infection result depletion helper type th cell ileal mucosa rhesus macaque thereby impairing mucosal barrier function typhimurium dissemination
Depletion of T-helper 17 (Th17) cells during simian immunodeficiency virus (SIV) infection decreases dissemination of Salmonella Typhimurium from the gut.,"TH17 cells were markedly depleted in SIV-infected rhesus macaques, resulting in blunted TH17 responses to S. typhimurium infection and increased bacterial dissemination.",0,depletion thelper th cell simian immunodeficiency virus siv infection decrease dissemination salmonella typhimurium gut,th cell markedly depleted sivinfected rhesus macaque resulting blunted th response typhimurium infection increased bacterial dissemination,depletion thelper th cell simian immunodeficiency virus siv infection decrease dissemination salmonella typhimurium gut th cell markedly depleted sivinfected rhesus macaque resulting blunted th response typhimurium infection increased bacterial dissemination
